iter	Passed	Remaining
1334	22488	19624
1335	22504	19607
1336	22521	19590
1337	22538	19573
1338	22555	19557
1339	22573	19541
1340	22590	19524
1341	22607	19508
1342	22625	19491
1343	22641	19474
1344	22658	19457
1345	22676	19441
1346	22691	19423
1347	22709	19407
1348	22727	19391
1349	22743	19374
1350	22762	19359
1351	22777	19340
1352	22795	19324
1353	22814	19309
1354	22830	19292
1355	22848	19276
1356	22863	19257
1357	22880	19241
1358	22898	19225
1359	22914	19208
1360	22932	19191
1361	22949	19175
1362	22966	19158
1363	22985	19143
1364	23002	19127
1365	23018	19108
1366	23035	19092
1367	23053	19076
1368	23069	19059
1369	23087	19043
1370	23105	19026
1371	23123	19011
1372	23138	18993
1373	23155	18976
1374	23171	18958
1375	23188	18941
1376	23202	18922
1377	23220	18906
1378	23239	18891
1379	23255	18873
1380	23271	18856
1381	23288	18840
1382	23306	18823
1383	23323	18806
1384	23340	18790
1385	23359	18775
1386	23375	18757
1387	23393	18741
1388	23408	18723
1389	23426	18707
1390	23442	18689
1391	23459	18672
1392	23476	18656
1393	23490	18637
1394	23508	18621
1395	23524	18603
1396	23541	18587
1397	23556	18568
1398	23573	18552
1399	23590	18535
1400	23607	18518
1401	23624	18502
1402	23643	18486
1403	23661	18470
1404	23677	18453
1405	23694	18436
1406	23710	18418
1407	23726	18401
1408	23743	18384
1409	23760	18368
1410	23778	18352
1411	23797	18336
1412	23814	18320
1413	23831	18303
1414	23848	18286
1415	23865	18270
1416	23880	18251
1417	23897	18234
1418	23912	18216
1419	23927	18198
1420	23941	18179
1421	23956	18161
1422	23975	18146
1423	23992	18129
1424	24007	18111
1425	24026	18095
1426	24044	18079
1427	24062	18063
1428	24079	18047
1429	24095	18029
1430	24109	18010
1431	24124	17992
1432	24139	17973
1433	24155	17956
1434	24174	17941
1435	24191	17924
1436	24207	17906
1437	24221	17888
1438	24236	17870
1439	24256	17855
1440	24272	17837
1441	24291	17822
1442	24308	17806
1443	24326	17789
1444	24341	17772
1445	24358	17755
1446	24376	17739
1447	24394	17723
1448	24412	17706
1449	24430	17691
1450	24448	17674
1451	24465	17658
1452	24483	17642
1453	24502	17627
1454	24520	17610
1455	24535	17592
1456	24553	17576
1457	24571	17560
1458	24590	17545
1459	24605	17527
1460	24623	17510
1461	24640	17494
1462	24658	17478
1463	24673	17460
1464	24689	17443
1465	24704	17424
1466	24718	17405
1467	24735	17389
1468	24753	17373
1469	24770	17356
1470	24785	17338
1471	24800	17319
1472	24818	17303
1473	24834	17286
1474	24853	17270
1475	24868	17253
1476	24886	17237
1477	24904	17220
1478	24923	17205
1479	24941	17189
1480	24958	17172
1481	24974	17155
1482	24990	17137
1483	25005	17119
1484	25022	17103
1485	25041	17087
1486	25057	17070
1487	25072	17051
1488	25091	17036
1489	25108	17019
1490	25125	17003
1491	25142	16986
1492	25161	16970
1493	25177	16953
1494	25195	16937
1495	25212	16920
1496	25230	16904
1497	25247	16887
1498	25263	16870
1499	25279	16853
1500	25294	16835
1501	25312	16818
1502	25327	16800
1503	25344	16783
1504	25363	16768
1505	25378	16750
1506	25396	16734
1507	25410	16715
1508	25426	16698
1509	25443	16681
1510	25461	16665
1511	25476	16647
1512	25491	16628
1513	25508	16612
1514	25527	16597
1515	25542	16579
1516	25558	16561
1517	25576	16545
1518	25590	16527
1519	25608	16510
1520	25625	16493
1521	25643	16477
1522	25662	16462
1523	25678	16444
1524	25696	16428
1525	25711	16410
1526	25728	16393
1527	25746	16377
1528	25765	16362
1529	25780	16344
1530	25797	16327
1531	25813	16310
1532	25832	16294
1533	25849	16278
1534	25865	16260
1535	25883	16244
1536	25901	16228
1537	25917	16210
1538	25933	16193
1539	25950	16177
1540	25964	16158
1541	25981	16141
1542	25998	16124
1543	26013	16106
1544	26031	16090
1545	26048	16074
1546	26064	16056
1547	26080	16038
1548	26099	16023
1549	26114	16005
1550	26129	15987
1551	26150	15973
1552	26168	15957
1553	26187	15941
1554	26204	15924
1555	26220	15907
1556	26238	15891
1557	26256	15875
1558	26272	15857
1559	26289	15840
1560	26306	15824
1561	26323	15807
1562	26340	15790
1563	26355	15773
1564	26372	15756
1565	26388	15738
1566	26404	15721
1567	26420	15703
1568	26434	15685
1569	26449	15667
1570	26463	15649
1571	26481	15632
1572	26499	15616
1573	26516	15600
1574	26533	15582
1575	26548	15565
1576	26564	15547
1577	26578	15529
1578	26596	15513
1579	26615	15497
1580	26635	15482
1581	26654	15466
1582	26672	15450
1583	26687	15433
1584	26705	15416
1585	26724	15400
1586	26742	15384
1587	26759	15367
1588	26775	15351
1589	26791	15333
1590	26809	15317
1591	26824	15299
1592	26839	15281
1593	26856	15264
1594	26874	15248
1595	26889	15230
1596	26904	15213
1597	26922	15196
1598	26941	15180
1599	26955	15162
1600	26969	15144
1601	26987	15127
1602	27002	15110
1603	27017	15092
1604	27033	15074
1605	27050	15057
1606	27068	15041
1607	27084	15024
1608	27102	15008
1609	27120	14992
1610	27135	14974
1611	27151	14956
1612	27167	14939
1613	27184	14923
1614	27202	14906
1615	27218	14889
1616	27236	14873
1617	27253	14856
1618	27269	14838
1619	27287	14822
1620	27304	14806
1621	27321	14789
1622	27338	14772
1623	27355	14755
1624	27372	14739
1625	27390	14723
1626	27409	14706
1627	27424	14689
1628	27442	14672
1629	27459	14656
1630	27477	14640
1631	27494	14623
1632	27513	14607
1633	27528	14589
1634	27543	14571
1635	27560	14555
1636	27576	14537
1637	27592	14520
1638	27611	14504
1639	27631	14489
1640	27647	14472
1641	27664	14455
1642	27681	14438
1643	27696	14420
1644	27714	14404
1645	27731	14387
1646	27749	14371
1647	27764	14353
1648	27782	14337
1649	27798	14320
1650	27813	14302
1651	27831	14286
1652	27847	14268
1653	27865	14252
1654	27882	14236
1655	27900	14219
1656	27915	14202
1657	27936	14187
1658	27955	14171
1659	27972	14154
1660	27989	14138
1661	28008	14122
1662	28026	14105
1663	28041	14088
1664	28056	14070
1665	28073	14053
